iter	Passed	Remaining
582	11309	8089
583	11327	8069
584	11346	8049
585	11367	8031
586	11394	8016
587	11414	7997
588	11433	7978
589	11452	7958
590	11474	7940
591	11493	7921
592	11513	7901
593	11534	7883
594	11553	7864
595	11574	7845
596	11592	7825
597	11611	7805
598	11630	7786
599	11649	7766
600	11668	7746
601	11687	7727
602	11708	7708
603	11726	7688
604	11745	7668
605	11765	7649
606	11784	7629
607	11803	7609
608	11823	7590
609	11845	7573
610	11864	7553
611	11884	7534
612	11902	7514
613	11923	7495
614	11942	7475
615	11960	7456
616	11981	7437
617	12001	7418
618	12019	7398
619	12040	7379
620	12062	7361
621	12084	7343
622	12106	7325
623	12127	7307
624	12146	7287
625	12165	7268
626	12184	7248
627	12204	7229
628	12224	7210
629	12245	7191
630	12264	7172
631	12285	7153
632	12306	7135
633	12324	7114
634	12343	7094
635	12365	7076
636	12391	7061
637	12411	7042
638	12438	7027
639	12458	7007
640	12476	6987
641	12497	6968
642	12515	6948
643	12537	6930
644	12556	6910
645	12576	6891
646	12597	6873
647	12616	6853
648	12637	6834
649	12658	6815
650	12677	6796
651	12700	6778
652	12723	6761
653	12741	6740
654	12759	6720
655	12777	6700
656	12795	6680
657	12814	6660
658	12833	6640
659	12853	6621
660	12874	6602
661	12893	6583
662	12912	6563
663	12931	6543
664	12950	6524
665	12970	6504
666	12989	6485
667	13010	6466
668	13029	6446
669	13047	6426
670	13071	6409
671	13092	6390
672	13113	6371
673	13133	6352
674	13157	6335
675	13176	6315
676	13198	6296
677	13218	6277
678	13236	6257
679	13257	6238
680	13276	6218
681	13297	6200
682	13318	6181
683	13337	6161
684	13355	6141
685	13374	6121
686	13398	6104
687	13420	6086
688	13439	6066
689	13458	6046
690	13477	6026
691	13496	6007
692	13517	5988
693	13537	5968
694	13555	5948
695	13576	5930
696	13596	5910
697	13615	5890
698	13635	5871
699	13655	5852
700	13673	5832
701	13692	5812
702	13710	5792
703	13730	5772
704	13750	5753
705	13768	5733
706	13787	5713
707	13805	5693
708	13824	5674
709	13842	5654
710	13862	5634
711	13883	5615
712	13904	5596
713	13923	5577
714	13941	5557
715	13961	5537
716	13979	5517
717	14000	5498
718	14019	5478
719	14039	5459
720	14058	5439
721	14075	5419
722	14094	5399
723	14117	5381
724	14139	5363
725	14158	5343
726	14180	5324
727	14199	5305
728	14219	5286
729	14237	5265
730	14256	5246
731	14275	5226
732	14295	5207
733	14316	5188
734	14334	5168
735	14355	5149
736	14381	5132
737	14402	5113
738	14428	5095
739	14451	5077
740	14469	5057
741	14487	5037
742	14506	5017
743	14525	4998
744	14544	4978
745	14565	4959
746	14583	4939
747	14602	4919
748	14620	4899
749	14640	4880
750	14660	4860
751	14678	4840
752	14702	4822
753	14721	4802
754	14740	4783
755	14760	4763
756	14782	4745
757	14800	4725
758	14819	4705
759	14837	4685
760	14857	4666
761	14877	4646
762	14899	4627
763	14918	4608
764	14939	4589
765	14958	4569
766	14976	4549
767	14999	4531
768	15018	4511
769	15038	4491
770	15057	4472
771	15075	4452
772	15096	4433
773	15114	4413
774	15134	4393
775	15153	4374
776	15172	4354
